sep=,
From: 2022-01-01,Store: googleplay,Cid: 260418,To: 2025-05-09,Ext_id: co.uk.getmondo
Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link,Device Name,VersionCode,OS
2025-05-09T19:15:50+00:00,co.uk.getmondo,,,en,,Lisa Robinson,5,,amazing,,,,,,,,,2025-05-10T23:07:53,,,Positive,,,,,https://appfollow.io/gp/7439/review/6149131943?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6149131943,,,
2025-05-09T18:04:37+00:00,co.uk.getmondo,,,en,,Mathew Wilson,5,,amazing banking app! by far the easiest and most convenient online banking I've used.,,,,,,,,,2025-05-10T21:07:47,,,Positive,,,,,https://appfollow.io/gp/7439/review/6149108992?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6149108992,,,
2025-05-09T16:09:17+00:00,co.uk.getmondo,,,en,,Graeme Bell,1,,does not work can't even open an account with it have tried at least 12-13 times,,,,,,,,,2025-05-10T20:07:55,,,Negative,,,,,https://appfollow.io/gp/7439/review/6149103490?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6149103490,,,
2025-05-09T16:02:07+00:00,co.uk.getmondo,,,en,,Alexander Pritchard,5,,brilliant bank account. the app doesn't so much and it's really easy to use,,,,,,,,,2025-05-10T19:07:55,,,Positive,,,,,https://appfollow.io/gp/7439/review/6149047743?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6149047743,,,
2025-05-09T15:37:35+00:00,co.uk.getmondo,,,en,,Adrian Tennyson,5,,Brilliant service to deal with.,,,,,,,,,2025-05-10T19:07:55,,,Positive,,,,,https://appfollow.io/gp/7439/review/6149047744?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6149047744,,,
2025-05-09T11:58:35+00:00,co.uk.getmondo,,,en,,Gaurav Pandhare,1,,I loved monzo used it since 2020 but they randomly decided they want to close my account I was given no reason why and it's very hard to contact any team to actually talk about this. All my payments go into this account its judt annoying and frustrating.,,,,,,,,,2025-05-10T15:08:02,,,Mixed,,,,,https://appfollow.io/gp/7439/review/6148864377?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6148864377,,,
2025-05-09T09:00:53+00:00,co.uk.getmondo,,,en,,Simon Tyler,2,,"balance is wrong, pretty much nowhere I can discuss this. they need a chat to a person to solve these issues",,,,,,,,,2025-05-10T12:08:04,,,Negative,,,,,https://appfollow.io/gp/7439/review/6135418185?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6135418185,,,
2025-05-09T00:31:48+00:00,co.uk.getmondo,,,en,,Timothy Daniel,5,,Sending my New Brightly Colored via FedEx is just one little thing but I know there will be more.,,,,,,,,,2025-05-10T04:09:44,,,Mixed,,,,,https://appfollow.io/gp/7439/review/6148385545?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6148385545,,,
2025-05-08T19:03:33+00:00,co.uk.getmondo,,,en,,mark Richardson,3,,does not send notifications on pixel,,,,,,,,,2025-05-09T22:09:22,,,Negative,,,,,https://appfollow.io/gp/7439/review/6147544875?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6147544875,,,
2025-05-08T17:24:55+00:00,co.uk.getmondo,,,en,,Bobbie Breen,5,,love this bank easy to uses,,,,,,,,,2025-05-09T21:07:34,,,Positive,,,,,https://appfollow.io/gp/7439/review/6147525709?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=6147525709,,,
